country,year,source,cost
Denmark,2002,Hydropower ,NA
Denmark,2002,Onshore wind ,0.11854891
Denmark,2003,Bioenergy ,NA
Denmark,2003,Geothermal ,NA
Denmark,2003,Offshore wind ,NA
Denmark,2003,Solar photovoltaic ,NA
Denmark,2003,Concentrated solar power ,NA
Denmark,2003,Hydropower ,NA
Denmark,2003,Onshore wind ,0.09519422
Denmark,2004,Bioenergy ,NA
Denmark,2004,Geothermal ,NA
Denmark,2004,Offshore wind ,NA
Denmark,2004,Solar photovoltaic ,NA
Denmark,2004,Concentrated solar power ,NA
Denmark,2004,Hydropower ,NA
